name,Sri Lanka,Turkey,Vietnam,Austria,Croatia,Denmark,Estonia,Finland,Germany,Greece,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Norway,Portugal,Romania,Spain,Sweden,Switzerland,United Kingdom,Canada,New Zealand,Brazil,Chile,Colombia,Ecuador,Peru,Venezuela
other,0.12831242,18.72745,0.1580361,4.3925185,1.1852294,8.734226,2.1158469,13.605263,50.9,0.17746587,5.787858,0.9686464,25.756252,0.8208996,0.5536734,0.38976282,0.253189,3.742,0.70867634,6.615242,13.329401,1.9268767,40.007,9.695907,9.014577,54.959217,8.4537115,2.8208168,0.41493,0.5788325,0.011069672
solar,0.7612115,12.833868,25.77042,2.1249056,0.0972935,1.2779185,0.2521306,0.30808082,49,5.1679754,0,0.06360574,25.066978,0.004833757,0.12369155,0.22130644,0.19702315,2.208,1.701,26.806072,1.449,3.0062954,12.38441,5.1617374,0.2048571,16.752281,10.596327,0.31732163,0.03687,0.87547284,0.00308
wind,0.68447256,31.137426,2.391613,6.751889,2.06732,16.031755,0.7421591,8.215152,117.7,10.470926,0.006083361,9.712766,20.618114,0.14,1.3614266,0.33903947,11.767036,13.225,6.576,62.353806,27.306503,0.14460382,64.45951,35.117035,2.642094,72.28597,9.481755,0.059852246,0.06201,1.802,0.08329
hydro,7.085865,55.695232,75.899475,42.851505,7.153081,0.0163087,0.031054053,15.70707,19.1,5.8237925,13.824003,0.7478114,43.05632,2.712,0.3850306,0.105368376,143.09062,11.853,16.900232,29.566423,71.458435,36.356102,5.0149,380.84628,24.223217000000002,362.81845,16.532999,59.858196,25.57461,31.945,61.22147
