name,Austria,Brazil,Canada,Chile,Colombia,Croatia,Denmark,Ecuador,Estonia,Finland,Germany,Greece,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,New Zealand,Norway,Peru,Portugal,Romania,Spain,Sri Lanka,Sweden,Switzerland,Turkey,United Kingdom,Venezuela,Vietnam
other,4.3925185,54.959217,9.695907,8.4537115,2.8208168,1.1852294,8.734226,0.41493,2.1158469,13.605263,50.9,0.17746587,5.787858,0.9686464,25.756252,0.8208996,0.5536734,0.38976282,9.014577,0.253189,0.5788325,3.742,0.70867634,6.615242,0.12831242,13.329401,1.9268767,18.72745,40.007,0.011069672,0.1580361
solar,2.1249056,16.752281,5.1617374,10.596327,0.31732163,0.0972935,1.2779185,0.03687,0.2521306,0.30808082,49,5.1679754,0,0.06360574,25.066978,0.004833757,0.12369155,0.22130644,0.2048571,0.19702315,0.87547284,2.208,1.701,26.806072,0.7612115,1.449,3.0062954,12.833868,12.38441,0.00308,25.77042
wind,6.751889,72.28597,35.117035,9.481755,0.059852246,2.06732,16.031755,0.06201,0.7421591,8.215152,117.7,10.470926,0.006083361,9.712766,20.618114,0.14,1.3614266,0.33903947,2.642094,11.767036,1.802,13.225,6.576,62.353806,0.68447256,27.306503,0.14460382,31.137426,64.45951,0.08329,2.391613
hydro,42.851505,362.81845,380.84628,16.532999,59.858196,7.153081,0.0163087,25.57461,0.031054053,15.70707,19.1,5.8237925,13.824003,0.7478114,43.05632,2.712,0.3850306,0.105368376,24.223217000000002,143.09062,31.945,11.853,16.900232,29.566423,7.085865,71.458435,36.356102,55.695232,5.0149,61.22147,75.899475
