name,Austria,Brazil,Canada,Colombia,Croatia,Denmark,Ecuador,Iceland,Luxembourg,New Zealand,Norway,Sweden,Switzerland
other,4.3925185,54.959217,9.695907,2.8208168,1.1852294,8.734226,0.41493,5.787858,0.38976282,9.014577,0.253189,13.329401,1.9268767
solar,2.1249056,16.752281,5.1617374,0.31732163,0.0972935,1.2779185,0.03687,0,0.22130644,0.2048571,0.19702315,1.449,3.0062954
wind,6.751889,72.28597,35.117035,0.059852246,2.06732,16.031755,0.06201,0.006083361,0.33903947,2.642094,11.767036,27.306503,0.14460382
hydro,42.851505,362.81845,380.84628,59.858196,7.153081,0.0163087,25.57461,13.824003,0.105368376,24.223217000000002,143.09062,71.458435,36.356102
